name,party,chamber,state,median_rt,tweet_count,LLS
Elizabeth Warren,Democrat,Senate,MA,437.0,2027,5989.81
Senator Ted Cruz,Republican,Senate,TX,221.0,3239,3215.55
Marco Rubio,Republican,Senate,FL,162.0,3212,2354.66
Kamala Harris,Democrat,Senate,CA,172.0,674,2016.96
Chuck Schumer,Democrat,Senate,NY,99.0,3246,1440.83
Nancy Pelosi,Democrat,House,CA,131.0,3240,1058.96
Cory Booker,Democrat,Senate,NJ,59.0,3226,858.02
John Lewis,Republican,Senate,VA,43.0,1747,577.89
John Kasich,Republican,House,OH,57.0,3244,460.84
Rep. Keith Ellison,Democrat,House,MN,56.0,3221,452.35
John McCain,Republican,Senate,AZ,31.0,3209,450.53
Joaquin Castro,Democrat,House,TX,49.0,3228,395.92
Kirsten Gillibrand,Democrat,Senate,NY,26.0,3210,377.88
Senator Jeff Merkley,Democrat,Senate,OR,25.0,3240,363.76
Jim Bridenstine,Republican,House,OK,50.0,1432,363.38
Tim Scott,Republican,Senate,SC,23.0,3198,334.12
Senator Cortez Masto,Democrat,Senate,NV,27.0,780,323.7
Rep. Don Beyer,Democrat,House,VA,37.0,3258,299.3
Mike Lee,Republican,Senate,UT,20.0,3224,290.83
Ed Markey,Democrat,Senate,MA,18.0,3214,261.65
Chris Van Hollen,Democrat,Senate,MD,17.0,2429,238.55
Ron Wyden,Democrat,Senate,OR,16.0,3245,232.85
Senator Patty Murray,Democrat,Senate,WA,16.0,3233,232.75
Rep. Barbara Lee,Democrat,House,CA,26.0,3198,209.84
Senator Dick Durbin,Democrat,Senate,IL,14.0,3252,203.8
Rick Scott,Republican,Senate,FL,14.0,3210,203.47
Amy Klobuchar,Democrat,Senate,MN,13.0,3220,189.01
Rep. Jamie Raskin,Democrat,House,MD,25.0,1705,186.05
Sherrod Brown,Democrat,Senate,OH,12.0,3091,173.59
Darrell Issa,Republican,House,CA,21.0,3233,169.71
Brian Schatz,Democrat,Senate,HI,11.0,3239,160.05
Claire McCaskill,Democrat,Senate,MO,11.0,3237,160.04
JohnCornyn,Republican,Senate,TX,11.0,3231,160.0
Jason Chaffetz,Republican,House,UT,18.0,3233,145.47
Sen. Patrick Leahy,Democrat,Senate,VT,10.0,3211,145.34
Jim McGovern,Democrat,House,MA,17.0,3202,137.22
Lindsey Graham,Republican,Senate,SC,9.0,3249,131.0
Mark Warner,Democrat,Senate,VA,9.0,3204,130.77
Louie Gohmert,Republican,House,TX,16.0,3242,129.35
Thom Tillis,Republican,Senate,NC,9.0,2101,123.94
Trey Gowdy,Republican,House,SC,16.0,1755,119.53
Tom Cotton,Republican,Senate,AR,8.0,3249,116.44
