state,year,month,Democrat,Republican,BWS
AK,2009,9,0.0,8.0,0.0
AK,2009,10,0.0,12.0,0.0
AK,2009,11,0.0,19.0,0.0
AK,2009,12,0.0,8.0,0.0
AK,2010,1,0.0,6.0,0.0
AK,2010,2,0.0,12.0,0.0
AK,2010,3,0.0,25.0,0.0
AK,2010,4,0.0,9.0,0.0
AK,2010,5,0.0,9.0,0.0
AK,2010,6,0.0,4.0,0.0
AK,2010,7,0.0,23.0,0.0
AK,2010,8,0.0,10.0,0.0
AK,2010,9,0.0,13.0,0.0
AK,2010,10,0.0,3.0,0.0
AK,2010,11,0.0,9.0,0.0
AK,2010,12,0.0,14.0,0.0
AK,2011,1,0.0,22.0,0.0
AK,2011,2,0.0,24.0,0.0
AK,2011,3,0.0,42.0,0.0
AK,2011,4,0.0,24.0,0.0
AK,2011,5,0.0,29.0,0.0
AK,2011,6,0.0,19.0,0.0
AK,2011,7,0.0,18.0,0.0
AK,2011,8,0.0,5.0,0.0
AK,2011,9,0.0,32.0,0.0
AK,2011,10,0.0,21.0,0.0
AK,2011,11,0.0,20.0,0.0
AK,2011,12,0.0,11.0,0.0
AK,2012,1,0.0,1.0,0.0
AK,2012,2,0.0,11.0,0.0
AK,2012,3,0.0,6.0,0.0
AK,2012,4,0.0,28.0,0.0
AK,2012,5,0.0,75.0,0.0
AK,2012,6,0.0,79.0,0.0
AK,2012,7,0.0,69.0,0.0
AK,2012,8,0.0,80.0,0.0
AK,2012,9,0.0,51.0,0.0
AK,2012,10,0.0,33.0,0.0
AK,2012,11,0.0,31.0,0.0
AK,2012,12,0.0,39.0,0.0
AK,2013,1,0.0,32.0,0.0
AK,2013,2,0.0,33.0,0.0
AK,2013,3,0.0,49.0,0.0
AK,2013,4,0.0,55.0,0.0
AK,2013,5,0.0,53.0,0.0
AK,2013,6,0.0,45.0,0.0
AK,2013,7,0.0,40.0,0.0
AK,2013,8,0.0,18.0,0.0
AK,2013,9,0.0,26.0,0.0
AK,2013,10,0.0,18.0,0.0
AK,2013,11,0.0,42.0,0.0
AK,2013,12,0.0,37.0,0.0
AK,2014,1,0.0,39.0,0.0
AK,2014,2,0.0,66.0,0.0
AK,2014,3,0.0,64.0,0.0
AK,2014,4,0.0,48.0,0.0
AK,2014,5,0.0,38.0,0.0
AK,2014,6,0.0,45.0,0.0
AK,2014,7,0.0,70.0,0.0
AK,2014,8,0.0,38.0,0.0
AK,2014,9,0.0,61.0,0.0
AK,2014,10,0.0,31.0,0.0
AK,2014,11,0.0,49.0,0.0
AK,2014,12,0.0,22.0,0.0
AK,2015,1,0.0,219.0,0.0
AK,2015,2,0.0,182.0,0.0
AK,2015,3,0.0,171.0,0.0
AK,2015,4,0.0,128.0,0.0
AK,2015,5,0.0,161.0,0.0
AK,2015,6,0.0,245.0,0.0
AK,2015,7,0.0,173.0,0.0
